,molecule_chembl_id,IC50,units,smiles,pIC50
2111,CHEMBL3416439,23.0,nM,C#Cc1cccc(Nc2ncnc3sc(Br)cc23)c1,7.638272163982407
2112,CHEMBL4445017,23.0,nM,O=C(/C=C/CN1CCCCC1)N1CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,7.638272163982407
2113,CHEMBL329672,23.0,nM,Clc1cccc(Nc2ncnc3ccccc23)c1,7.638272163982407
2114,CHEMBL255656,23.0,nM,CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(Cl)c2)c1,7.638272163982407
2115,CHEMBL255438,23.0,nM,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/OCc1ccccc1,7.638272163982407
2116,CHEMBL4207984,23.0,nM,N#Cc1ccc(O)c(-c2nc(NCc3cccnc3)c3ccccc3n2)c1,7.638272163982407
2117,CHEMBL5266834,23.0,nM,C=CC(=O)Nc1cc(Nc2ncc(-c3ccnn3C)c(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,7.638272163982407
2118,CHEMBL5269375,23.0,nM,COC(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cc2OC)nc1-c1cn(C)c2ccccc12,7.638272163982407
2119,CHEMBL565467,23.0,nM,CCC1=C2C(Nc3ccc4c(cnn4Cc4ccccc4)c3)=NC=NC2N=C1NC(=O)O[C@H]1CC[C@H](N)CC1,7.638272163982407
2120,CHEMBL4282506,23.0,nM,N#CCC(=O)N/N=C1\C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc21,7.638272163982407
2121,CHEMBL3921129,23.0,nM,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCN(C)CC1,7.638272163982407
2122,CHEMBL583403,23.0,nM,CCC1=C2C(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)=NC=NC2N=C1NC(=O)OC[C@@H]1COCCN1,7.638272163982407
2123,CHEMBL5281266,23.0,nM,C=CC(=O)Nc1cc(Nc2ncc(C(=O)CC)c(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,7.638272163982407
2124,CHEMBL3921710,23.0,nM,CCCCN1C(=O)CS/C1=N/Nc1nncc2ccccc12,7.638272163982407
2125,CHEMBL3633934,23.0,nM,CCOC(=O)C(=CNc1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c2c1)C(=O)OCC,7.638272163982407
2126,CHEMBL3676376,23.1,nM,C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OC[C@H](C)NC(=O)CN(C)C,7.636388020107856
2127,CHEMBL4098591,23.4,nM,CCC(=O)N1CC[C@@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,7.6307841425898575
2128,CHEMBL4452957,23.4,nM,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1cc(F)ccc1C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,7.6307841425898575
2129,CHEMBL3754803,23.5,nM,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4C)nc32)c1,7.628932137728263
2130,CHEMBL4097627,23.6,nM,Oc1cccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc4[nH]c(-c5ccccc5)cc34)[nH]2)c1,7.627087997029894
2131,CHEMBL4750158,23.6,nM,COc1ccc(-c2c3c4cc(OCCCN(C)C)c(O)cc4[nH]c(=O)c3n3ccc4cc(O)c(OC)cc4c23)cc1O.O=C(O)C(F)(F)F,7.627087997029894
2132,CHEMBL5193609,23.6,nM,CCS(=O)(=O)n1cc2c3ccc(cc31)OCCCCCCOc1cc(c(C)cc1N1CCOCC1)Nc1ncc(Cl)c-2n1,7.627087997029894
2133,CHEMBL597402,23.6,nM,O=C(COc1c(F)c(F)c(F)c(F)c1F)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.627087997029894
2134,CHEMBL3805509,23.7,nM,C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,7.6252516539898965
2135,CHEMBL597950,23.8,nM,C=C=CCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O,7.623423042943488
2136,CHEMBL4066845,23.99,nM,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)o1,7.619969752032169
2137,CHEMBL4284413,24.0,nM,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,7.619788758288394
2138,CHEMBL1090363,24.0,nM,CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,7.619788758288394
2139,CHEMBL133023,24.0,nM,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,7.619788758288394
2140,CHEMBL3092313,24.0,nM,CN(C)CCCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,7.619788758288394
2141,CHEMBL1934632,24.0,nM,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNC(C)C)cc1,7.619788758288394
