,molecule_chembl_id,IC50,units,smiles,pIC50,passed
5015,CHEMBL4095253,642.7,nM,C=CS(=O)(=O)N1CCC[C@@H]1Cn1cc(-c2ccc3c(c2)OCO3)c2c(N)ncnc21,6.1919917000896,True
5019,CHEMBL4588202,649.0,nM,CCC(=O)N1CCC[C@@H](n2nc(-c3cn(-c4ccc(C(C)=O)cc4)nn3)c3c(N)ncnc32)C1,6.187755303199631,True
5020,CHEMBL4208712,650.0,nM,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCO)n1,6.187086643357144,True
5024,CHEMBL184750,650.0,nM,Cc1cc2c(Nc3ccc(C)c(O)c3)ncnn2c1,6.187086643357144,True
5026,CHEMBL3263373,650.0,nM,Cc1ccc(C2=NN(C3=NC(c4ccccc4)CS3)C(c3ccc4ccccc4c3)C2)cc1C,6.187086643357144,True
5040,CHEMBL1645469,660.0,nM,Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,6.180456064458132,True
5042,CHEMBL91428,660.0,nM,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,6.180456064458132,True
5046,CHEMBL1242026,663.0,nM,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,6.178486471595227,True
5054,CHEMBL111434,670.0,nM,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,6.173925197299173,True
5056,CHEMBL5274670,672.0,nM,COc1cc2c(Nc3ccc(Cc4ccccc4)cc3)ncnc2cc1OCC1CCN(C)CC1,6.172630726946175,True
5058,CHEMBL4854693,675.0,nM,C=CS(=O)(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2Cl)c1,6.170696227168975,True
5061,CHEMBL2325090,680.0,nM,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.167491087293763,True
5063,CHEMBL3234755,680.0,nM,CN1CCN(Cc2ccc(NC(=O)c3cccc(NC(=O)c4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1,6.167491087293763,True
5067,CHEMBL54475,688.0,nM,Brc1cccc(Nc2ncnc3ncccc23)c1,6.162411561764489,True
5071,CHEMBL245277,690.0,nM,C[C@@H](c1ccccc1)n1ncc2cc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)ccc21,6.161150909262744,True
5072,CHEMBL4647325,690.0,nM,Nc1nc(Nc2nnc3c4ccccc4nc(Sc4ccc(Br)cc4)n23)cs1,6.161150909262744,True
5073,CHEMBL436511,690.0,nM,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,6.161150909262744,True
5079,CHEMBL195204,698.0,nM,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5cscn5)c(Cl)c4)c23)CC1,6.156144577376839,True
5084,CHEMBL176309,700.0,nM,Nc1ncnc2c1c(-c1cccc(Cl)c1)cn2-c1ccccc1,6.154901959985743,True
5086,CHEMBL2070048,700.0,nM,CCOc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1.Cl,6.154901959985743,True
5089,CHEMBL367442,700.0,nM,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(CO)cc1,6.154901959985743,True
5094,CHEMBL521887,700.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2ccncc2c1,6.154901959985743,True
5097,CHEMBL231885,710.0,nM,CC(=O)N1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,6.1487416512809245,True
5099,CHEMBL2325098,710.0,nM,Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.1487416512809245,True
5102,CHEMBL4795888,710.0,nM,CC(C)c1ccc(C2N=C(C(N)=O)c3ncn(-c4ccc(F)cc4)c3N2)cc1,6.1487416512809245,True
