,molecule_chembl_id,IC50,units,smiles,pIC50
5054,CHEMBL80164,1000.0,nM,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCO)cc5)sc34)ccc2[nH]1,6.0
5055,CHEMBL3735958,1000.0,nM,Cc1nc2cnc(Nc3ccnc(N4CC[C@H](O)[C@H](F)C4)n3)cc2n1C(C)C,6.0
5056,CHEMBL1202061,1000.0,nM,CCOC(=O)C(=O)Oc1ccc(-c2c(C(=O)OCC)oc3cc(O)cc(O)c3c2=O)cc1.O=C(O)C(=O)O,6.0
5057,CHEMBL504173,1000.0,nM,CC(C)c1cc(/C=C(\C#N)C(N)=O)cc(C(C)C)c1O,6.0
5058,CHEMBL56983,1000.0,nM,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)Nc3ccccc3)nc2n1,6.0
5059,CHEMBL490987,1000.0,nM,CC(C)NC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,6.0
5060,CHEMBL3735474,1000.0,nM,CO[C@H]1CCN(c2nccc(Nc3cc4c(cn3)nc(CO)n4C(C)C)n2)CC1(F)F,6.0
5061,CHEMBL496388,1000.0,nM,N#Cc1cnc2c(Cl)cc(NCc3c[nH]nn3)cc2c1Nc1ccc(F)c(Cl)c1,6.0
5062,CHEMBL1917092,1000.0,nM,COC(=O)c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(Br)cc1,6.0
5063,CHEMBL230232,1000.0,nM,N#Cc1cnc2c(Br)cc(NCc3c[nH]nn3)cc2c1Nc1ccc(F)c(Cl)c1,6.0
5064,CHEMBL319244,1005.0,nM,O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1,5.997833938243493
5065,CHEMBL1914666,1008.0,nM,Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,5.996539467890494
5066,CHEMBL1098120,1010.0,nM,Cl.NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1,5.995678626217358
